,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,entities.hashtags,entities.urls,partido,tipo de post
0,Pilar,2021-04-17 11:05:55+00:00,1383376168754180096,"@InesArrimadas Más que tú ???? El PP os ha tomado el pelo y se ríe de vosotros y seguís apoyando.... a un con sus mentiras y corrupción, no se puede caer más bajo.","[15, 163]",['Twitter for iPhone'],0,0,2641,2920,21584,[],[],Partido Popular,mención
1,Sergio R.Aranoa 🌹🔻 #GabilondoPresidente,2021-04-17 11:05:45+00:00,1383376129654812672,@ppmadrid @populares Con sobrecostes de 100 millones de euros como el Almacén Zendal? 😂😂 https://t.co/iVURwsZx4C,"[21, 88]",['Twitter for iPhone'],0,0,3617,4997,151810,[],[],Partido Popular,mención
2,Toni🌾🥀,2021-04-17 11:05:44+00:00,1383376124365840385,"Ventajas de esta estrategia:

- los votantes del PP jamás te votarán 
- los de Vox tampoco
- el PP no quiere pactar contigo
- puedes perder a tus votantes (aunq en el caso del PSOE está chungo)
- siendo tan panoli, animas a la abstención https://t.co/dIXneljVWz","[0, 237]",['Twitter Web App'],0,0,142,185,5079,[],[],Partido Popular,mención
3,Ángel Panizo Coleto,2021-04-17 11:05:42+00:00,1383376116166004747,"@populares @IdiazAyuso Aqui están los datos de contagiados ocultos por @IdiazAyuso e @ignacioaguado para no tener que tomar medidas, mientras los madrileños fallecian brutalmente en un estado gravisimo de la pandemia. Todo con datos fehacientes recogidos de la web de la CAM.

https://t.co/x1MBawrDo7","[23, 300]",['Twitter for Android'],0,0,433,127,4316,[],"[{'url': 'https://t.co/x1MBawrDo7', 'expanded_url': 'https://mobile.twitter.com/angelpanizoc/status/1342158143476871174?s=19', 'display_url': 'mobile.twitter.com/angelpanizoc/s…', 'indices': [277, 300]}]",Partido Popular,mención
4,Salome,2021-04-17 11:05:39+00:00,1383376102983299076,@teresajbecerril @populares También hablabas así de Aznar??? Cuando acercaba presos y les llamaba MLNV?? https://t.co/iqkR4EfJtu,"[28, 104]",['Twitter for iPhone'],0,0,200,381,3553,[],[],Partido Popular,mención
5,David A. Gonzalez,2021-04-17 11:05:32+00:00,1383376071647666176,"@jorgetegan @EnriqueBoto @populares @AlmeidaPP_ Esto es lo que ha dicho.

Que lo mismo nos estamos pasando tres pueblos buscando motivos de indignación. https://t.co/DcmZL84grf","[48, 152]",['Twitter for iPhone'],0,0,267,365,2547,[],[],Partido Popular,mención
6,Manndi,2021-04-17 11:05:28+00:00,1383376055327625224,"... lo que ha perjudicado y perjudica además de a #Madrid a España y de ahí a #Europa, Ayuso y el #PP solo han engañado, mentido y soltado bulos contra el gobierno y por pandemia contra España/Europa. Un verdadero Virus,un veradero Cancer, AYUSO

@BILD @welt @express24 @telegraaf","[0, 280]",['Twitter Web App'],0,0,1,58,196,"[{'text': 'Madrid', 'indices': [50, 57]}, {'text': 'Europa', 'indices': [78, 85]}, {'text': 'PP', 'indices': [98, 101]}]",[],Partido Popular,mención
7,D.M,2021-04-17 11:05:01+00:00,1383375943968776194,"@menorcamartika @paconunez_ @TeoGarciaEgea @populares @PP_CLM Socialistos?,
tú nivel intelectual,tiene qué ser exactamente igual a tú currículum vitae,digamos cero","[62, 163]",['Twitter Web App'],0,0,93,792,3533,[],[],Partido Popular,mención
8,Salome,2021-04-17 11:04:59+00:00,1383375933512380418,@populares @DolorsMM La familia de Montserrat ya se puso al día con hacienda?????,"[21, 81]",['Twitter for iPhone'],0,0,200,381,3553,[],[],Partido Popular,mención
9,Fernando Freiria,2021-04-17 11:04:54+00:00,1383375916110258185,@populares @IdiazAyuso Espectacular Ayuso!!! 🤩🤩🤩,"[23, 48]",['Twitter for iPhone'],0,0,20,152,1071,[],[],Partido Popular,mención
