,Unnamed: 0,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,entities.hashtags,entities.urls,partido,tipo de post
0,0,Partido Popular,2021-04-17 10:29:44+00:00,1383367063666782213,"👉 Javier Fernández-Lasquetty: “Todos los socialistas quieren que subamos siempre los impuestos; eso sí, el día que se convocan elecciones hay uno que disimula, y hay otros dos -Sánchez y Montero- a los que les da todo igual y ni lo hacen”.

#YoConAyuso https://t.co/cTGdEBgnqU","[0, 252]",['Twitter Media Studio - LiveCut'],2,2,820639,5291,102263,"[{'text': 'YoConAyuso', 'indices': [241, 252]}]",[],Partido Popular,publicación
1,1,Partido Popular,2021-04-17 10:25:21+00:00,1383365962888409090,"👉 Javier Fernández-Lasquetty: “Libertad para todo, pero también para trabajar. Que nadie aproveche la pandemia como una excusa para el autoritarismo”.

#YoConAyuso https://t.co/LbmD4mwptp","[0, 163]",['Twitter Media Studio - LiveCut'],7,11,820639,5291,102263,"[{'text': 'YoConAyuso', 'indices': [152, 163]}]",[],Partido Popular,publicación
2,2,Partido Popular,2021-04-17 10:16:32+00:00,1383363740356145161,📡 #EnDirecto👉 @IdiazAyuso atiende a los medios en su visita a Collado Villalba. https://t.co/N4H746boKu,"[0, 103]",['Twitter Media Studio'],16,34,820639,5291,102263,"[{'text': 'EnDirecto', 'indices': [2, 12]}]","[{'url': 'https://t.co/N4H746boKu', 'expanded_url': 'https://twitter.com/i/broadcasts/1ypKdgYwNVRxW', 'display_url': 'twitter.com/i/broadcasts/1…', 'indices': [80, 103]}]",Partido Popular,publicación
3,3,Partido Popular,2021-04-17 09:59:36+00:00,1383359481254268936,"🔵 En unos minutos, no te pierdas la intervención de @IdiazAyuso desde Collado Villalba.

Podrás seguirlo, en directo, en nuestras redes y en https://t.co/6WGpUW8ul9 🤳🏼
#YoConAyuso https://t.co/lmlCdvAdqZ","[0, 179]",['Twitter Web App'],37,49,820639,5291,102263,"[{'text': 'YoConAyuso', 'indices': [168, 179]}]","[{'url': 'https://t.co/6WGpUW8ul9', 'expanded_url': 'http://pp.es', 'display_url': 'pp.es', 'indices': [141, 164]}]",Partido Popular,publicación
4,4,Partido Popular,2021-04-17 06:14:00+00:00,1383302705779671044,"☕️ Muy buenos días y #FelizSábado a todos 😊

Esta es nuestra agenda para hoy👉🏽 https://t.co/3quq6iOQY2 https://t.co/MzcGGwtNyO","[0, 102]",['Twitter Web App'],8,26,820639,5291,102263,"[{'text': 'FelizSábado', 'indices': [21, 33]}]","[{'url': 'https://t.co/3quq6iOQY2', 'expanded_url': 'https://www.pp.es/actualidad/agenda', 'display_url': 'pp.es/actualidad/age…', 'indices': [79, 102]}]",Partido Popular,publicación
5,5,Partido Popular,2021-04-16 18:53:28+00:00,1383131444827066373,"✍️🏻 En una carta impulsada por el Partido Popular, 62 eurodiputados piden explicaciones a Josep Borrell por la reunión del Servicio Exterior Europeo con miembros de la ilegítima Asamblea Nacional venezolana.

🔴 @DolorsMM la califica de ""inaceptable"".
https://t.co/IEaqUDvA1O","[0, 274]",['Twitter Web App'],61,93,820639,5291,102263,[],"[{'url': 'https://t.co/IEaqUDvA1O', 'expanded_url': 'https://www.pp.es/actualidad-noticia/62-eurodiputados-piden-explicaciones-josep-borrell-por-reunion-servicio-exterior', 'display_url': 'pp.es/actualidad-not…', 'indices': [251, 274]}]",Partido Popular,publicación
6,6,Partido Popular,2021-04-16 18:09:55+00:00,1383120484024381447,"🔵 @IdiazAyuso: “No nos van a encontrar en el camino de la ruina, ni de la división ni del enfrentamiento. Con nosotros que no cuenten para el desastre”.

Les queda muy poco, y como Iglesias no entre en la Asamblea, me debéis dos.

#YoConAyuso https://t.co/gDJuD1OIV3","[0, 242]",['Twitter Media Studio - LiveCut'],160,420,820639,5291,102263,"[{'text': 'YoConAyuso', 'indices': [231, 242]}]",[],Partido Popular,publicación
7,7,Partido Popular,2021-04-16 17:57:53+00:00,1383117455158083589,"🔵 @IdiazAyuso: “Ha sido convocar elecciones y -supuestamente- han aparecido vacunas masivas. La semana pasada tenían más vacunas que Alemania para todos los españoles, cuando ahora resulta que se está paralizando el proceso de vacunación”.

#YoConAyuso https://t.co/fvHepruYmo","[0, 252]",['Twitter Media Studio - LiveCut'],95,170,820639,5291,102263,"[{'text': 'YoConAyuso', 'indices': [241, 252]}]",[],Partido Popular,publicación
8,8,Partido Popular,2021-04-16 17:55:08+00:00,1383116765287305222,"🔵 @IdiazAyuso: “Sánchez pretende decirnos que Madrid va a perder su autonomía fiscal para subirnos los impuestos mientras le da más autonomía al País Vasco para quedarse con la competencia de prisiones y, después de las elecciones, empezar a indultar a los presos de ETA”. https://t.co/bPFwbetgSy","[0, 272]",['Twitter Media Studio - LiveCut'],384,978,820639,5291,102263,[],[],Partido Popular,publicación
9,9,Partido Popular,2021-04-16 17:51:41+00:00,1383115898861551617,"🔵 @IdiazAyuso: “Estamos en estas elecciones porque había, de manera soterrada, un proyecto que quería cambiar España por la puerta de atrás. Tenemos la oportunidad decirle al Gobierno de España 👉 AQUÍ NO”.

Vamos a seguir defendiendo vivir a la madrileña, #YoConAyuso https://t.co/x9WK90VA6W","[0, 267]",['Twitter Media Studio - LiveCut'],80,199,820639,5291,102263,"[{'text': 'YoConAyuso', 'indices': [256, 267]}]",[],Partido Popular,publicación
10,10,Partido Popular,2021-04-16 17:47:37+00:00,1383114874063106053,"🔵 @IdiazAyuso: “Podría dedicar este rato a hacer lo que el Gobierno de España hace con la Comunidad de Madrid, a criticar la gestión que hace el ayuntamiento; pero para mí los 179 municipios de la CAM son MIS municipios y sus problemas me afectan”.

#YoConAyuso https://t.co/AzJWAHSWoO","[0, 261]",['Twitter Media Studio - LiveCut'],110,227,820639,5291,102263,"[{'text': 'YoConAyuso', 'indices': [250, 261]}]",[],Partido Popular,publicación
11,11,Partido Popular,2021-04-16 17:42:03+00:00,1383113471122898947,"🔵 @IdiazAyuso: “En la política lo que más cuesta es lo que más se aprecia, y el valor del sacrificio y la cultura del esfuerzo me representan”.

#YoConAyuso https://t.co/vYgBLqgIbg","[0, 156]",['Twitter Media Studio - LiveCut'],92,227,820639,5291,102263,"[{'text': 'YoConAyuso', 'indices': [145, 156]}]",[],Partido Popular,publicación
12,12,Partido Popular,2021-04-16 17:41:58+00:00,1383113451199954944,"💬 @eruizescudero: “El 4M nos jugamos mucho. Madrid se ha adelantado en todas las ocasiones y el Gobierno siempre iba por detrás”.

#YoConAyuso https://t.co/XxCc3A5Kfr","[0, 142]",['Twitter Media Studio - LiveCut'],80,173,820639,5291,102263,"[{'text': 'YoConAyuso', 'indices': [131, 142]}]",[],Partido Popular,publicación
