,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,partido,tipo de post,hashtags,campaña,sentimiento,scores
0,marcos rodriguez,2021-04-26 19:15:32+00:00,1386760875097350157,"El PP fue y es , la cuna donde nace el Fascismo Actual VOX  .Creado para tratar de encubrir su pensamiento de que ellos son los padres del Fascismo Franquista. https://t.co/iBoBgvrsLN","[0, 159]",['Twitter Web App'],0,0,832,1222,52581,Partido Popular,mención,[],general,5,0.35404372215270996
1,Jota-3,2021-04-26 19:15:26+00:00,1386760850200043529,"@AlmeidaPP_ @populares @IdiazAyuso Joder Joselu, suenas que has comido con Smith recientemente!!!","[35, 97]",['Twitter for Android'],0,0,177,268,6297,Partido Popular,mención,[],general,5,0.38218480348587036
2,M. A. E. Montero Contento 🇪🇸🔮♻️✊🏼💔💜🇪🇸,2021-04-26 19:15:22+00:00,1386760835998130178,@Fernandoelcato5 @populares @CiudadanosCs @vox_es Yo ilumino cuándo enciendo la luz 💡 antes de amanecer 🌅 en el casco 🪖 de obra 🏗 si te sirve 😂,"[50, 143]",['Twitter for iPhone'],0,0,859,2527,13074,Partido Popular,mención,[],general,1,0.38786864280700684
3,A cada cual su leche Pascual,2021-04-26 19:15:20+00:00,1386760828435804164,@AntonioBS84 @pvallin Y esta vez el PP no los maneja... Así están...,"[22, 68]",['Twitter for Android'],0,0,157,180,3364,Partido Popular,mención,[],general,1,0.6570168733596802
4,Javier Jimeno,2021-04-26 19:15:18+00:00,1386760819472539657,"@hiades25 @Prietopia3 @AlmeidaPP_ Se llama corrupción, sistémica a en el caso del PP. https://t.co/D6rQrlArSz","[34, 109]",['Twitter for Android'],0,0,1228,673,6681,Partido Popular,mención,[],general,1,0.6492063403129578
5,"MÓNICA No me esperes en el baño, bicho🐀🐁!!🌺🌷🌸",2021-04-26 19:15:16+00:00,1386760810157027336,"@aneshali @populares @CiudadanosCs Maniatada por los progres. Mitin de VOX en Vallecas, UP calentando el ambiente e incitando a la confrontación, policía con órdenes de aguantar y no cargar. Resultado: 35 heridos, 21 de ellos policías. Nadie se preocupó por ellos. UP hizo victimismo, como siempre. Asqueroso.","[35, 309]",['Twitter Web App'],0,0,3402,2548,98584,Partido Popular,mención,[],general,1,0.8858874440193176
6,David 🇪🇸🇬🇧,2021-04-26 19:15:10+00:00,1386760784693415937,"@Alvisepf @populares @vox_es A ver qué monta la izquierda de aquí al día 4. No descarto que el 2 o 3 de mayo haya detenciones de ""afiliados"" de VOX y más criminalización del partido.

Desde el 11M ya nos sabemos el guión","[29, 220]",['Twitter for Android'],0,0,243,205,14463,Partido Popular,mención,[],general,1,0.6185308694839478
7,laSexta Clave,2021-04-26 19:15:08+00:00,1386760777189711873,"🔴 El PP no quiere ningún cordón sanitario frente a Vox. Cero sorpresas. Sus Gobiernos en Madrid, Andalucía o Región de Murcia dependieron de la complicidad de la ultraderecha. ¿Pero qué pasa con la izquierda? ▶ #laSextaClave124 en directo: https://t.co/4W1CsNYStq https://t.co/iyTnY84cgv","[0, 263]",['Besocy_Oficial'],1,0,3011,48,1681,Partido Popular,mención,['laSextaClave124'],general,1,0.5617422461509705
8,Joseger,2021-04-26 19:15:08+00:00,1386760775243636740,@Fendetestas15 @gracianomn @skakeofanzine @populares @IdiazAyuso Porque este miserable echa de menos a ETA,"[65, 106]",['Twitter for Android'],0,0,34,142,1163,Partido Popular,mención,[],general,1,0.8302987813949585
9,CAPITAL RADIO,2021-04-26 19:15:00+00:00,1386760741865275393,"#ElBalance | La #actualidad se debate en #tertulia. Junto a @joacovaz, @allendemartinm, y @JaviDorado.

🔹 Siguen las amenazas a políticos
🔹 Nuevos sondeos de cara a las #Elecciones4M
🔹 ¿Con quién debe pactar el #PP?

🔊 Con @FedericoQuevedo en https://t.co/OjWvBUGqZF https://t.co/CEU7Z9IHSr","[0, 266]",['Twitter Web App'],0,1,27472,570,106332,Partido Popular,mención,"['ElBalance', 'actualidad', 'tertulia', 'Elecciones4M', 'PP']",general,1,0.2579975128173828
